['E_f1Fl-XMAMPFkT.jpg'],Morales: #EEUU ?sufriÛ una derrota vergonzosa? ante el terrorismo y el narcotr†fico #NarcoterrorismoDomÈstico   https://t.co/GCenoztH3H  https://t.co/WMF36c68i3
['E8NYFP5WYAEpNRb.jpg'],"Tus acciones te hacen ser una bella persona, no tu color de piel o tu dinero, esa joven con su hermoso gesto me robo el corazon.  https://t.co/wXfw2Hrqv7"
['E_BP33UXoAYQcTI.png'],"#Seguridad ???? Detuvo policÌa municipal a dos hombres por robo a casa habitaciÛn, en #Puebla. En la acciÛn se recuperaron computadoras port†tiles, un equipo de audio, un dispositivo de comunicaciÛn mÛvil, entre otros artÌculos. Urbano| Noticias  https://t.co/xXKSnVjz8k...  https://t.co/HcoPbEpPLk"
['E_XFlhCXIAAl-GR.jpg'],20 aÒos del accidente que convirtiÛ a Alex Zanardi en leyenda.  https://t.co/TALvr20hB5
"['E_Gc6blX0AEnhW5.jpg', 'E_Gc3IzWQA046Zf.jpg']","≠Llega el castigo para Max Verstappen!  El neerlandÈs tendr· tres posiciones de sanciÛn en la parrilla de salida del #RussianGP, tras el accidente que protagonizÛ con Lewis Hamilton en el #ItalianGP   ®QuÈ opinan de la decisiÛn de la FIA? | #F1  https://t.co/yfUlLPzcGL"
['E_gPQk5XEAAuNxD.jpg'],"Accidente  se @traficogt en el paso a desnivel al final de la 20 calle de la zona 10, ingreso a Santa Catarina Pinula, persona fallecida  https://t.co/mBl9Kd6qfo"
"['E_ByP4hWUAI4rCF.jpg', 'E_ByQgvWQAEPCCw.jpg']","#EnDesarrollo | Un camiÛn que transportaba jugadores se precipitÛ a un barranco de 7 metros de profundidad, el accidente ocurriÛ en la Carretera Litoral, a la altura del cantÛn Cipres en Conchagua, La UniÛn, seg£n reporta @BomberosSV.  https://t.co/m4P0jV9Y3Z"
['E65zVrIUUAAszaa.jpg'],Sujeto de la izq. Aprehendido hace 2 semanas por robo a cable de @CFEmx  y ayer nuevamente robando Que pasa con el MP @UCS_GCDMX @nenulo @Claudiashein No hay alumbrado p£blico en 3era. secc #Tlatelolco @ManuelBartlett @SUTERM_NACIONAL  https://t.co/ELmr1vNu9A
['E_NGgMCXMAcg9-0.jpg'],Mi caracol al enterarse de que por accidente le mate a unos de sus babys  https://t.co/WyR8tuYing
"['D8S2bDQXYAEWQUf.jpg', 'D8S2avlXkAAIxO6.jpg']","Primera foto el 'Chapo Guzm·n' en una c·rcel de Estados Unidos pagando condena por Narcotr·fico,  segunda foto el futuro Honorable Representante a la C·mara 'Jes˙s Santrich'. Dos Narcotraficantes, una ejecutado por la Justicia y el otro disfrutando la falta de Justicia.  https://t.co/GlP6B0ybEV"
['E_HgG9LVcAYfD7t.jpg'],"#PrecauciÛnVial en #Zacatecas se registra accidente vial, cerca del km 027+500 carretera (2870), Libramiento VÌctor Rosales, mismo tramo. Atienda indicaciÛn vial  https://t.co/KhfU1ogVFi"
['E_Q3AI_XMAQiWaX.jpg'],Accidente en Bogot·-Mosquera / RN50-08A &gt;Oriente #traficobogota. Tr·fico avanzando1h 7m m·s lento de lo habitual.  https://t.co/9Rd47O8vxe  https://t.co/erdKlOYPXz
['E_C0Xg9X0AUDR00.jpg'],"#5Sep  La expulsiÛn de sus comunidades, debido a su identidad de gÈnero, sumando a ello los prejuicios, la moral conservadora, la violencia y amenazas que viven los cuerpos de las #MujeresTransIndÌgenas  https://t.co/m85DuPQhL3"
['E_QDsSWWEAUFw0Y.jpg'],"Si no te sientes segura en casa o vives una situaciÛn de violencia domÈstica, llama al 911 y di 'soy CÛdigo Violeta'.  Las autoridades correspondientes acudir·n para brindarte el apoyo que necesitas.   No est·s sola.  https://t.co/DHu5PxFGYp"
['E_VAZ8RWYAQvZ9D.png'],@VickyVillarruel   O sea: soy victima de un robo y si recupero lo robado lo tengo que vender para pagar a la justicia que me lo recuperÛ. Y el okupa no paga nada?  https://t.co/PXsWrdQJ2u
['E_Wi-HYXEAcFSpv.jpg'],Pierde la vida un masculino tras accidente en la MÈxico-Veracruz a la altura de Xaltocan  https://t.co/LFmG1imFs6  https://t.co/c9EU8HjRf3
['E_HZkTXXEAcfv1g.png'],"Detienen en CdMx a 'El Rorro', lÌder de banda dedicada al robo de tarjetas bancarias El grupo criminal se dedica al robo de tarjetas bancarias, principalmente en cajeros Banorte.  https://t.co/LSOk9RAFFW"
['E_MJiOAWEAEpj6N.jpg'],"?? #VIDEOS | Ola de violencia en #Oaxaca: asesinan a magistrado, a una familia y a tres mujeres  https://t.co/CSgnsxcUD1  https://t.co/CgP46rgPLJ"
"['E_K-qdqWUAALBZz.jpg', 'E_K-qdoXEAoI8AJ.jpg']",#LoÈltimo #Tr·ficoSV | Dos personas fallecidas en accidente de tr·nsito en gasolinera ubicada en el km 5 de la carretera Troncal del Norte. El conductor de una rastra habrÌa perdido el control y atropellÛ a personas que se encontraban en el lugar. Fotos cortesÌa: @_RoxanaRuiz.  https://t.co/eMSFedx0FD
['E_WEnAEXMAIANwq.jpg'],"#EducacionQR: Existen muchos mitos y realidades alrededor de la violencia sexual infantil. Para saber m·s sobre cÛmo prevenirla, atenderla y erradicarla conoce la ?Cartilla de Derechos de las VÌctimas de Violencia Sexual Infantil?. Descargar: ?  https://t.co/FAuRpdHs08"
['E_Q0xC5XsAYxaoN.png'],"#Zapopan es el municipio de mayor incidencia del delito de #Secuestro en #Jalisco, se han reportado 26 casos de diciembre 2028 a agosto pasado. En la entidad se registraron 112 casos en el mismo periodo. @WallaceIsabel @EnriqueAlfaroR @muralcom  https://t.co/N3bpdwldA4"
['EKPeAUUWoAIHrqJ.jpg'],"Gracias al trabajo investigativo de la @PoliciaEcuador, se logrÛ la detenciÛn de Carlos T., cuarto en la lista de #M·sBuscados de la provincia de #Guayas, por ser el presunto responsable de abusar sexualmente de su hija de 12 aÒos de edad.  https://t.co/pXMbZJwcuK"
['E7zMZ2PXMAADW9r.jpg'],"#ÈltimaHora Autoridades reportan asesinato en la colonia mÈdica, de un joven identificado como Edgar Alvarenga, de 19 aÒos. Seg˙n la primeras declaraciones, fue asaltado en un autob˙s R-22, al encarar al asaltante, Èste le disparÛ.  https://t.co/ZKz8YQsWiH"
"['E2Q1sOjXEAQvtu8.jpg', 'E2Q1sOaXoAkJBDc.jpg', 'E2Q1sObWQAATbhc.jpg']","Biden sobre George Floyd: 'Su asesinato iniciÛ un verano de protestas que no habÌamos visto desde la era de los derechos civiles en los 60, protestas que unieron pacÌficamente a personas de toda raza y generaciÛn para decir colectivamente basta a estos asesinatos sin sentido'.  https://t.co/Qx8kGpM4eh"
['E9THRpmXMAAU9yC.jpg'],"CADENA PERPETUA INTRAMURAL,para Todos los q hayan estado involucrados en casos de defraudaciÛn (robo) de el erario p˙blico. ®'EngaÒo'  Emilio Tapia el 'zaar de la contratacion' a la @FiscaliaCol? Jajaja  El q es Criminal sigue siendo criminal.  https://t.co/ADQEiGJNHd"
"['E_cs61kX0AIUzfU.jpg', 'E_cs7OeXoAcP9Jr.jpg', 'E_cs6YbXEAEc8N1.jpg']","#Sucesos??|Se reportÛ accidente en carretera que de Atima conduce a Nueva VÌctoria, resultando herido una persona del sexo masculino  Nos reporta nuestro corresponsal Yester Ayala??????  https://t.co/zoE2suPLpe"
['Eiel9nAX0AAv199.jpg'],Tres vendedores de abarrotes fueron lesionados con armas de fuego tras un intento de asalto sobre la calle Luis Long norte esquina con Ejercito nacional de la colonia San Martin de Porres????????????  https://t.co/dSIgLmUc6t
['E_L4tHrWYAM38Lk.jpg'],"?? El 13 de septiembre de 1847, el ejÈrcito invasor se lanzÛ al asalto del Castillo de #Chapultepec, donde 6 cadetes, junto con otros 200 soldados, ofrendaron sus vidas por el honor y la soberanÌa del territorio. ????  https://t.co/2FUK5tzqQ0"
['E_QW6tuUYAEKb1t.jpg'],"Ser· creada una Guardia Estatal de Seguridad, que estar· distribuida en los 72 municipios de Sonora a travÈs de un mando ˙nico coordinado, para frenar la violencia, anunciÛ el gobernador @AlfonsoDurazo.   #Noticias  https://t.co/pUCJhjbdd4"
"['E_QizdoXoAM3h0_.jpg', 'E_Qizy5XEAIMas8.jpg', 'E_Qi0OjWEAgbfzW.jpg']","Fuerte #accidente a la altura de Tepatlaxco de Hidalgo, #Puebla.  https://t.co/tB6s0FmOHn"
['E_BsSh0XMAAc6g1.jpg'],#EfemÈridesIAIM??|| Hoy #11Sep se cumplen 20 aÒos del atentado terrorista contra las torres gemelas del World Trade Center. Venezuela alza la voz en contra de los actos de violencia y agresiÛn que atenten contra la paz de los Pueblos del Mundo.  https://t.co/Qwltd5I1Yr
"['E_MM-R5WEAIMMPY.jpg', 'E_MM--zWEAEgAlO.jpg']","#LOÈLTIMO  Reportan al menos 4 personas han resultado lesionadas tras un accidente de tr·nsito entre un vehÌculo particular y un camiÛn cerca del desvÌo del municipio de San Juli·n, Sonsonete.  https://t.co/5ARrheECfl"
['E_FwGtBXIAUpmZG.jpg'],"#ProvinciasKW Se registra accidente de tr·nsito en la vÌa Interamericana, prÛximo a Coronado. @TraficoCPanama  https://t.co/W55cvNanOy"
['EJEPweXXYAIAgOl.jpg'],"Noche de violencia en #Ixmiquilpan,  ejecutan a dos hombres   https://t.co/beXi4br9vN  https://t.co/3aamfxbFs3"
['E_fvhZ4WUAktsOp.jpg'],"Sigue Cerrado debido a un accidente en #FortWorth en 121 (Ft Worth) WB entre Beach St y Riverside Dr, detuvo el tr·fico de regreso a Maxine St  https://t.co/rar81SromF"
['E_WDyKyWUAcEtoU.jpg'],#PereiraEnVivoNoticias  Se registrÛ #Accidente de tr·nsito en la Av. Sur con calle 25.  https://t.co/ILFzYcog3M
['E_cKadCX0AQzWip.jpg'],#SanSalvador | Congestionamiento vial causado por un  accidente de tr·nsito registrado esta tarde sobre el boulevard de los HÈroes a la altura de restaurante el Corral.  https://t.co/WH2I64gtMu
['E_cfpnuWYAYrCqD.jpg'],"#Accidente #AEstaHora en la calle sÈptima con carrera 11 en Sogamoso, en que resultan comprometidos un vehÌculo de carga pesada y una motocicleta. #NoticiaEnDesarrollo M·s noticias en  https://t.co/kiJerDELMl  https://t.co/JHXns8jIEt"
['E_NUGOJVkAQMJ70.jpg'],"#CancionDelRecuerdo 'Sleepwalk' de Johnny y Santo, maravillosa canciÛn que conocÌ en mi infancia gracias a la pelÌcula 'La Bamba' suena en la escena m·s triste, cuando la madre del protagonista se entera de que falleciÛ en un accidente aÈreo Muy recomendable.  https://t.co/kzh9OLxgrg"
['E_ajZVwUYAEZwOC.jpg'],"T·cticas nazis, torturas y violencia sexual, 13 puntos claves del #informe de la #ONU sobre el gobierno de #Maduro ?  https://t.co/hXrYhClAEZ  https://t.co/dRhZIPhN77"
